Date,AQI Value
2022-07-21,14
2022-07-21,65
2022-07-21,55
2022-07-21,113
2022-07-21,63
2022-07-21,76
2022-07-21,56
2022-07-21,45
2022-07-21,12
2022-07-21,165
2022-07-21,141
2022-07-21,13
2022-07-21,61
2022-07-21,28
2022-07-21,12
2022-07-21,9
2022-07-21,58
2022-07-21,67
2022-07-21,15
2022-07-21,28
2022-07-21,118
2022-07-21,15
2022-07-21,62
2022-07-21,43
2022-07-21,6
2022-07-21,156
2022-07-21,59
2022-07-21,178
2022-07-21,160
2022-07-21,63
2022-07-21,25
2022-07-21,33
2022-07-21,50
2022-07-21,77
2022-07-21,36
2022-07-21,26
2022-07-21,54
2022-07-21,86
2022-07-21,80
2022-07-21,15
2022-07-21,165
2022-07-21,25
2022-07-21,72
2022-07-21,13
2022-07-21,118
2022-07-21,9
2022-07-21,41
2022-07-21,77
2022-07-21,117
2022-07-21,34
2022-07-21,38
2022-07-21,3
2022-07-21,7
2022-07-21,1
2022-07-21,47
2022-07-21,47
2022-07-21,30
2022-07-21,57
2022-07-21,8
2022-07-21,162
2022-07-21,93
2022-07-21,250
2022-07-21,234
2022-07-21,14
2022-07-21,102
2022-07-21,111
2022-07-21,38
2022-07-21,110
2022-07-21,29
2022-07-21,27
2022-07-21,62
2022-07-21,40
2022-07-21,38
2022-07-21,132
2022-07-21,42
2022-07-21,20
2022-07-21,23
2022-07-21,76
2022-07-21,71
2022-07-21,20
2022-07-21,32
2022-07-21,42
2022-07-21,30
2022-07-21,46
2022-07-21,42
2022-07-21,70
2022-07-21,57
2022-07-21,25
2022-07-21,92
2022-07-21,16
2022-07-21,46
2022-07-21,55
2022-07-21,42
2022-07-21,46
2022-07-21,81
2022-07-21,70
2022-07-21,15
2022-07-21,18
2022-07-21,105
2022-07-21,73
2022-07-21,91
2022-07-21,64
2022-07-21,85
2022-07-21,83
2022-07-21,74
2022-07-21,26
2022-07-21,8
2022-07-21,183
2022-07-21,14
2022-07-21,67
2022-07-21,80
2022-07-21,50
2022-07-21,272
2022-07-21,33
2022-07-21,60
2022-07-21,29
2022-07-21,63
2022-07-21,49
2022-07-21,83
2022-07-21,80
2022-07-21,82
2022-07-21,42
2022-07-21,114
2022-07-21,38
2022-07-21,31
2022-07-21,59
2022-07-21,81
2022-07-21,95
2022-07-21,152
2022-07-21,20
2022-07-21,86
2022-07-21,85
2022-07-21,198
2022-07-21,37
2022-07-21,92
2022-07-21,55
2022-07-21,116
2022-07-21,60
2022-07-21,70
2022-07-21,3
2022-07-21,43
2022-07-21,39
2022-07-21,17
2022-07-21,65
2022-07-21,51
2022-07-21,152
2022-07-21,61
2022-07-21,78
2022-07-21,54
2022-07-21,48
2022-07-21,18
2022-07-21,161
2022-07-21,141
2022-07-21,12
2022-07-21,67
2022-07-21,29
2022-07-21,9
2022-07-21,10
2022-07-21,65
2022-07-21,66
2022-07-21,15
2022-07-21,29
2022-07-21,154
2022-07-21,15
2022-07-21,64
2022-07-21,44
2022-07-21,8
2022-07-21,161
2022-07-21,124
2022-07-21,212
2022-07-21,151
2022-07-21,60
2022-07-21,24
2022-07-21,34
2022-07-21,53
2022-07-21,83
2022-07-21,36
2022-07-21,25
2022-07-21,58
2022-07-21,86
2022-07-21,80
2022-07-21,16
2022-07-21,161
2022-07-21,25
2022-07-21,73
2022-07-21,13
2022-07-21,129
2022-07-21,5
2022-07-21,41
2022-07-21,79
2022-07-21,113
2022-07-21,34
2022-07-21,32
2022-07-21,3
2022-07-21,7
2022-07-21,1
2022-07-21,53
2022-07-21,68
2022-07-21,32
2022-07-21,58
2022-07-21,9
2022-07-21,162
2022-07-21,93
2022-07-21,246
2022-07-21,194
2022-07-21,15
2022-07-21,112
2022-07-21,119
2022-07-21,30
2022-07-21,89
2022-07-21,28
2022-07-21,28
2022-07-21,60
2022-07-21,42
2022-07-21,45
2022-07-21,158
2022-07-21,44
2022-07-21,30
2022-07-21,24
2022-07-21,76
2022-07-21,8
2022-07-21,19
2022-07-21,29
2022-07-21,46
2022-07-21,38
2022-07-21,49
2022-07-21,36
2022-07-21,70
2022-07-21,59
2022-07-21,25
2022-07-21,109
2022-07-21,18
2022-07-21,44
2022-07-21,40
2022-07-21,44
2022-07-21,36
2022-07-21,79
2022-07-21,72
2022-07-21,12
2022-07-21,30
2022-07-21,105
2022-07-21,67
2022-07-21,91
2022-07-21,69
2022-07-21,85
2022-07-21,83
2022-07-21,69
2022-07-21,22
2022-07-21,6
2022-07-21,183
2022-07-21,24
2022-07-21,62
2022-07-21,69
2022-07-21,50
2022-07-21,272
2022-07-21,33
2022-07-21,60
2022-07-21,21
2022-07-21,62
2022-07-21,50
2022-07-21,83
2022-07-21,75
2022-07-21,82
2022-07-21,45
2022-07-21,114
2022-07-21,41
2022-07-21,32
2022-07-21,63
2022-07-21,65
2022-07-21,81
2022-07-21,116
2022-07-21,18
2022-07-21,91
2022-07-21,85
2022-07-21,189
2022-07-21,26
2022-07-21,90
2022-07-21,55
2022-07-21,107
2022-07-21,58
2022-07-21,70
2022-07-21,2
2022-07-21,41
2022-07-21,54
2022-07-22,15
2022-07-22,65
2022-07-22,52
2022-07-22,110
2022-07-22,53
2022-07-22,54
2022-07-22,66
2022-07-22,45
2022-07-22,16
2022-07-22,154
2022-07-22,141
2022-07-22,35
2022-07-22,43
2022-07-22,22
2022-07-22,23
2022-07-22,61
2022-07-22,66
2022-07-22,90
2022-07-22,17
2022-07-22,31
2022-07-22,90
2022-07-22,15
2022-07-22,71
2022-07-22,55
2022-07-22,4
2022-07-22,115
2022-07-22,63
2022-07-22,137
2022-07-22,165
2022-07-22,66
2022-07-22,51
2022-07-22,58
2022-07-22,50
2022-07-22,90
2022-07-22,24
2022-07-22,11
2022-07-22,48
2022-07-22,86
2022-07-22,85
2022-07-22,22
2022-07-22,118
2022-07-22,40
2022-07-22,66
2022-07-22,15
2022-07-22,102
2022-07-22,6
2022-07-22,38
2022-07-22,58
2022-07-22,106
2022-07-22,32
2022-07-22,46
2022-07-22,24
2022-07-22,32
2022-07-22,2
2022-07-22,46
2022-07-22,14
2022-07-22,25
2022-07-22,62
2022-07-22,15
2022-07-22,226
2022-07-22,93
2022-07-22,166
2022-07-22,177
2022-07-22,22
2022-07-22,86
2022-07-22,102
2022-07-22,38
2022-07-22,68
2022-07-22,29
2022-07-22,20
2022-07-22,71
2022-07-22,54
2022-07-22,53
2022-07-22,160
2022-07-22,45
2022-07-22,65
2022-07-22,38
2022-07-22,76
2022-07-22,58
2022-07-22,20
2022-07-22,27
2022-07-22,55
2022-07-22,26
2022-07-22,60
2022-07-22,38
2022-07-22,71
2022-07-22,49
2022-07-22,57
2022-07-22,108
2022-07-22,8
2022-07-22,43
2022-07-22,50
2022-07-22,40
2022-07-22,19
2022-07-22,58
2022-07-22,33
2022-07-22,14
2022-07-22,24
2022-07-22,105
2022-07-22,63
2022-07-22,91
2022-07-22,68
2022-07-22,73
2022-07-22,83
2022-07-22,75
2022-07-22,31
2022-07-22,6
2022-07-22,183
2022-07-22,23
2022-07-22,54
2022-07-22,106
2022-07-22,56
2022-07-22,33
2022-07-22,72
2022-07-22,55
2022-07-22,60
2022-07-22,64
2022-07-22,83
2022-07-22,75
2022-07-22,88
2022-07-22,62
2022-07-22,78
2022-07-22,48
2022-07-22,38
2022-07-22,58
2022-07-22,75
2022-07-22,99
2022-07-22,72
2022-07-22,35
2022-07-22,84
2022-07-22,46
2022-07-22,161
2022-07-22,43
2022-07-22,83
2022-07-22,49
2022-07-22,89
2022-07-22,98
2022-07-22,61
2022-07-22,20
2022-07-22,76
2022-07-22,36
2022-07-22,15
2022-07-22,65
2022-07-22,51
2022-07-22,134
2022-07-22,61
2022-07-22,57
2022-07-22,45
2022-07-22,46
2022-07-22,20
2022-07-22,153
2022-07-22,141
2022-07-22,25
2022-07-22,37
2022-07-22,20
2022-07-22,8
2022-07-22,61
2022-07-22,78
2022-07-22,111
2022-07-22,16
2022-07-22,39
2022-07-22,163
2022-07-22,15
2022-07-22,63
2022-07-22,46
2022-07-22,9
2022-07-22,118
2022-07-22,109
2022-07-22,165
2022-07-22,155
2022-07-22,66
2022-07-22,36
2022-07-22,37
2022-07-22,48
2022-07-22,79
2022-07-22,17
2022-07-22,19
2022-07-22,68
2022-07-22,86
2022-07-22,77
2022-07-22,23
2022-07-22,132
2022-07-22,47
2022-07-22,65
2022-07-22,8
2022-07-22,123
2022-07-22,38
2022-07-22,35
2022-07-22,61
2022-07-22,108
2022-07-22,46
2022-07-22,54
2022-07-22,28
2022-07-22,33
2022-07-22,1
2022-07-22,44
2022-07-22,30
2022-07-22,67
2022-07-22,46
2022-07-22,12
2022-07-22,160
2022-07-22,93
2022-07-22,153
2022-07-22,289
2022-07-22,20
2022-07-22,118
2022-07-22,106
2022-07-22,46
2022-07-22,94
2022-07-22,33
2022-07-22,25
2022-07-22,62
2022-07-22,65
2022-07-22,50
2022-07-22,181
2022-07-22,39
2022-07-22,12
2022-07-22,28
2022-07-22,76
2022-07-22,3
2022-07-22,21
2022-07-22,34
2022-07-22,46
2022-07-22,59
2022-07-22,56
2022-07-22,39
2022-07-22,71
2022-07-22,76
2022-07-22,53
2022-07-22,82
2022-07-22,11
2022-07-22,45
2022-07-22,37
2022-07-22,51
2022-07-22,27
2022-07-22,48
2022-07-22,28
2022-07-22,4
2022-07-22,34
2022-07-22,105
2022-07-22,31
2022-07-22,91
2022-07-22,76
2022-07-22,113
2022-07-22,83
2022-07-22,76
2022-07-22,28
2022-07-22,28
2022-07-22,183
2022-07-22,25
2022-07-22,55
2022-07-22,59
2022-07-22,56
2022-07-22,33
2022-07-22,71
2022-07-22,36
2022-07-22,63
2022-07-22,67
2022-07-22,83
2022-07-22,84
2022-07-22,86
2022-07-22,54
2022-07-22,53
2022-07-22,33
2022-07-22,28
2022-07-22,72
2022-07-22,83
2022-07-22,72
2022-07-22,94
2022-07-22,42
2022-07-22,89
2022-07-22,85
2022-07-22,163
2022-07-22,43
2022-07-22,83
2022-07-22,47
2022-07-22,89
2022-07-22,56
2022-07-22,61
2022-07-22,8
2022-07-22,61
2022-07-22,66
2022-07-22,20
2022-07-22,65
2022-07-22,37
2022-07-22,126
2022-07-22,58
2022-07-22,47
2022-07-22,42
2022-07-22,52
2022-07-22,25
2022-07-22,162
2022-07-22,141
2022-07-22,47
2022-07-22,43
2022-07-22,5
2022-07-22,20
2022-07-22,30
2022-07-22,70
2022-07-22,91
2022-07-22,13
2022-07-22,36
2022-07-22,89
2022-07-22,15
2022-07-22,57
2022-07-22,60
2022-07-22,10
2022-07-22,118
2022-07-22,156
2022-07-22,112
2022-07-22,162
2022-07-22,70
2022-07-22,23
2022-07-22,61
2022-07-22,53
2022-07-22,88
2022-07-22,16
2022-07-22,33
2022-07-22,53
2022-07-22,86
2022-07-22,84
2022-07-22,38
2022-07-22,157
2022-07-22,61
2022-07-22,71
2022-07-22,13
2022-07-22,152
2022-07-22,33
2022-07-22,36
2022-07-22,66
2022-07-22,95
2022-07-22,50
2022-07-22,51
2022-07-22,128
2022-07-22,12
2022-07-22,1
2022-07-22,20
2022-07-22,13
2022-07-22,24
2022-07-22,56
2022-07-22,10
2022-07-22,153
2022-07-22,93
2022-07-22,155
2022-07-22,107
2022-07-22,20
2022-07-22,91
2022-07-22,115
2022-07-22,57
2022-07-22,68
2022-07-22,27
2022-07-22,21
2022-07-22,86
2022-07-22,34
2022-07-22,45
2022-07-22,155
2022-07-22,37
2022-07-22,45
2022-07-22,46
2022-07-22,76
2022-07-22,50
2022-07-22,45
2022-07-22,75
2022-07-22,43
2022-07-22,50
2022-07-22,60
2022-07-22,20
2022-07-22,64
2022-07-22,54
2022-07-22,43
2022-07-22,109
2022-07-22,14
2022-07-22,41
2022-07-22,32
2022-07-22,48
2022-07-22,13
2022-07-22,26
2022-07-22,31
2022-07-22,2
2022-07-22,43
2022-07-22,105
2022-07-22,25
2022-07-22,91
2022-07-22,60
2022-07-22,104
2022-07-22,83
2022-07-22,70
2022-07-22,32
2022-07-22,11
2022-07-22,183
2022-07-22,22
2022-07-22,70
2022-07-22,98
2022-07-22,57
2022-07-22,33
2022-07-22,64
2022-07-22,53
2022-07-22,66
2022-07-22,84
2022-07-22,83
2022-07-22,120
2022-07-22,72
2022-07-22,28
2022-07-22,151
2022-07-22,28
2022-07-22,48
2022-07-22,65
2022-07-22,78
2022-07-22,98
2022-07-22,75
2022-07-22,47
2022-07-22,79
2022-07-22,159
2022-07-22,165
2022-07-22,51
2022-07-22,87
2022-07-22,43
2022-07-22,91
2022-07-22,116
2022-07-22,68
2022-07-22,11
2022-07-22,119
2022-07-22,100
2022-07-23,15
2022-07-23,65
2022-07-23,33
2022-07-23,105
2022-07-23,49
2022-07-23,41
2022-07-23,81
2022-07-23,28
2022-07-23,23
2022-07-23,161
2022-07-23,141
